clarity_average,contribution_average,evidence_average,motivation_average,originality_average,relatedwork_average,relevance_average,clarity_num,contribution_num,evidence_num,motivation_num,originality_num,relatedwork_num,relevance_num,score_total
0.003271073,0.297642347,0.617451993,0.728655279,0.085551194,0,0.500106405,2,7,10,1,12,0,2,6
4.56E-05,0.460571515,0.220038105,7.43E-05,0.371659193,0.987098962,0.001289201,1,6,9,1,9,2,1,5
0.999939501,0.999912441,0.231287555,0.999914885,0.333041611,7.22E-05,0.056267124,2,2,8,1,3,1,1,3
0.18665571,0.499702989,0.000210787,0.999780059,5.54E-05,5.96E-05,0,3,2,2,2,4,1,0,3
0.213418569,0.002587537,0.000803766,0.000130795,5.53E-05,0.003816303,0,3,1,6,3,4,1,0,3
0.571425869,0.999927044,0.401594939,0.002848909,0.355088269,0,0.999894977,7,1,5,2,5,0,1,6
0.666875182,0.666639629,0.276224508,0.999930561,0.520577529,0.969101131,0,6,6,12,2,10,1,0,8
0.074661025,0.252341308,0.034554899,0.003358052,0.499458913,0,0.19991891,35,8,17,3,10,0,5,3
0.000206833,0.713565085,0.142924983,7.38E-05,2.23E-05,0,0,5,7,7,1,1,0,0,3
0.192033815,0.451582972,0.250493758,0.017955923,0.650672284,4.33E-05,0.978719443,11,9,12,1,5,3,2,6
0.000148973,0.33335,0.012639301,0.499866478,0.316564114,0.206478134,0,17,3,9,2,3,4,0,1
0.079214216,0.328553584,0.000166778,0.999933243,0.999977469,3.71E-05,0,12,3,8,1,1,1,0,3
0.296997396,0.999073267,0.33333865,0.999844313,0.999976337,3.44E-05,0,5,1,3,1,2,1,0,5
1.67E-05,0.010278333,2.03E-05,0.835610151,0.333339042,6.80E-05,0,4,5,1,2,3,1,0,3
0.098667981,0.376363671,0.162057272,0.000245764,0.458579033,0,0.002866172,13,8,16,2,13,0,1,3
0.200835848,0.67531357,5.69E-05,7.67E-05,0.973860562,7.95E-05,0.000305865,5,3,5,2,4,1,1,3
