motivation,originality,score_total
0.999933124,0.798302009,6
0.999758065,0.509328981,8
0.750109663,0.999964833,8
0.666920707,0.828959135,6
0.999474287,0.642540178,6
0.999888539,0.629724367,6
0.999915659,0.49976703,6
0.666972846,0.799978905,6
0.999856492,0.670818009,8
0.931184014,0.597105641,6
0.698472303,0.236820018,5
0.084569547,0.998504448,6
0.955465198,0.593196231,6
0.999916553,0.827644267,8
0.999667421,0.611265739,8
0.999878734,0.789893538,8
0.500278517,0.731383562,8
0.999928276,0.599984693,6
0.912554483,0.751770333,6
0.867131479,0.653147666,8
0.999857227,0.639278284,6
0.498723656,0.496663157,6
0.999903634,0.723727878,8
0.999930203,0.896482933,8
0.500005706,0.651073642,6
0.001086024,0.243249599,6
0.999804616,0.833302439,10
0.999594897,0.316318159,6
0.998806953,0.685369044,10
0.999929577,0.797696446,8
0.54604395,0.50490074,8
0.941561848,0.499995328,6
0.999517113,0.373885906,6
0.774109952,0.670172192,8
0.959703088,0.249634538,3
0.33453104,0.521610115,8
0.999827902,0.45882644,8
0.999597326,0.66383567,5
0.007668636,0.682490433,6
0.979440793,0.759729437,6
0.196268108,0.400855762,8
0.910583794,0.444450731,8
0.510141611,0.29907858,8
0.249505117,0.995662761,8
0.024108305,0.413970485,6
0.333356853,0.499903404,3
0.677148617,0.666659348,8
0.500354321,0.71367789,8
0.500540294,0.43082408,6
0.665999975,0.250005315,5
0.973485008,0.088812318,6
0.999900818,0.500002425,8
0.999835352,0.999899447,8
0.999915957,0.666727779,8
0.99239703,0.669054808,3
0.478289018,0.471867015,6
0.999716333,0.564557185,8
0.999928315,0.501874589,8
0.667241282,0.999884546,8
9.66E-05,0.329474224,5
0.65069823,0.999934355,8
0.40001472,0.504398948,8
0.99991411,0.571596952,6
0.999912858,0.786603604,8
0.999918759,0.999454836,3
0.506046908,0.402752802,6
0.54780606,0.000553687,3
0.966186553,0.799058464,5
0.999926567,0.491906106,8
0.923898384,0.633154103,6
0.675401678,0.400011682,1
0.999782217,0.611529599,10
0.99990648,0.666471756,8
0.750349333,0.886401515,6
0.999926448,0.500065835,6
0.999485701,0.799771668,8
0.497672018,0.20141274,8
0.9999277,0.999978423,8
0.999658346,0.399365996,8
0.666711361,0.566818411,6
0.624209195,0.666659851,8
0.913568348,0.500004492,6
0.927668869,0.956878376,6
0.999666135,0.800345421,8
0.86138913,0.500002729,6
0.984518707,0.000205239,8
0.998787681,0.581622477,8
0.999925017,0.999982556,8
0.500113628,0.333346958,6
0.999934256,0.414352602,6
0.499923413,0.571409435,5
0.582481127,0.749640622,6
0.666637339,0.306544125,5
0.50087081,0.771741614,6
0.000769238,0.007243705,3
0.749921517,0.762670479,7
0.890161961,0.337111855,7
0.336799475,0.499998429,6
0.999877155,0.143731063,6
0.000502159,0.575822799,6
0.530965077,0.666660424,7
0.999930978,0.757964243,6
0.665867465,0.692285637,6
0.750034012,0.749651426,9
0.998708248,0.999975848,8
0.999937415,0.666497178,7
0.999921143,0.66668456,5
0.999913772,0.597359741,6
0.494154157,0.599648074,7
0.999781946,0.664217882,8
0.972504099,0.387983292,4
0.499974005,0.027613246,7
0.637996842,0.593044981,6
0.500021302,0.999972463,6
0.999919415,0.999941031,6
0.749957641,0.999978781,7
0.335411884,0.499576183,6
0.790822923,0.4999703,5
0.999920487,0.767780753,3
0.991749525,0.832997391,8
0.999930541,0.79998602,7
0.999884903,0.46494493,7
0.51756197,0.490369433,6
0.999885798,0.666665177,6
