motivation_average,originality_average,score_total,motivation,originality
0.728655279,0.085551194,6,1,0
7.43E-05,0.371659193,5,0,0
0.999914885,0.333041611,3,1,0
0.999780059,5.54E-05,3,1,0
0.000130795,5.53E-05,3,0,0
0.002848909,0.355088269,6,0,0
0.999930561,0.520577529,8,1,1
0.003358052,0.499458913,3,0,0
7.38E-05,2.23E-05,3,0,0
0.017955923,0.650672284,6,0,1
0.499866478,0.316564114,1,0,0
0.999933243,0.999977469,3,1,1
0.999844313,0.999976337,5,1,1
0.835610151,0.333339042,3,1,0
0.000245764,0.458579033,3,0,0
7.67E-05,0.973860562,3,0,1
0.749862336,0.333471805,3,1,0
0.006756292,0.499842643,3,0,0
0.0391437,0.023073391,3,0,0
0.999923944,0.599790445,6,1,1
0.393405135,0.234795391,6,0,0
0.499998557,0.195924731,3,0,0
0.134405003,0.266423441,3,0,0
0.702698876,0.397682471,3,1,0
0.001477698,0.699256679,3,0,1
0.400019374,0.539947621,3,0,1
0.000182926,0.418653719,3,0,0
0.665872513,0.37631946,10,1,0
0.996071741,0.428581883,8,1,0
0.000217658,0.500001373,5,0,1
7.59E-05,0.666660956,6,0,1
0.999908805,0.749953279,5,1,1
0.500001358,0.443679241,3,1,0
0.998059452,0.999982357,8,1,1
0.976928115,0.8207064,6,1,1
0.990359147,0.49471043,5,1,0
8.44E-05,0.333341189,3,0,0
0.953862786,0.500246925,3,1,1
0.999909163,0.513826575,8,1,1
0.499981866,0.162567721,6,0,0
0.999943137,0.999889612,6,1,1
0.000167129,0.300124755,6,0,0
7.60E-05,2.80E-05,6,0,0
0.49994367,0.287079562,5,0,0
0.999541044,0.308409853,5,1,0
0.357314461,0.368063603,5,0,0
0.252301514,0.575613499,6,0,1
0.663224355,0.331390163,6,1,0
0.333667298,0.666664067,6,0,1
0.876676202,0.486316156,6,1,0
0.999913931,0.51084609,6,1,1
0.000389019,0.2000198,8,0,0
0.999935508,0.999978304,6,1,1
0.175242533,0.749579686,6,0,1
0.74998436,0.256047091,6,1,0
0.04809258,0.354030047,8,0,0
0.999930441,0.985636294,6,1,1
0.999931097,0.998705745,6,1,1
0.666650206,0.746178913,6,1,1
0.411012271,0.000379003,6,0,0
7.61E-05,0.249962109,6,0,0
0.999224424,0.007059525,3,1,0
0.506622309,0.500497302,3,1,1
0.999929547,0.499975732,5,1,0
0.99990809,0.998715222,6,1,1
0.99992609,0.613838583,6,1,1
0.765820175,0.999979138,8,1,1
0.333336939,0.499997449,3,0,0
0.500143692,0.234019325,5,1,0
0.061725389,0.222196022,3,0,0
9.40E-05,0.333274775,6,0,0
0.999925077,0.749431821,6,1,1
0.679113448,0.499842071,3,1,0
0.666639118,0.501899985,6,1,1
0.712717116,0.616310197,5,1,1
0.999939084,0.333519381,5,1,0
0.999931097,0.520294543,5,1,1
0.137968972,0.39703493,3,0,0
0.999820083,0.558166215,8,1,1
0.590811342,0.696048323,6,1,1
0.999882102,0.250013427,3,1,0
7.24E-05,2.10E-05,3,0,0
6.42E-05,0.605946513,6,0,1
0.499828127,0.001824686,8,0,0
0.930750688,0.200033489,6,1,0
0.015855122,2.31E-05,6,0,0
0.991154134,0.000188765,8,1,0
8.15E-05,0.001484347,6,0,0
0.999923348,0.999737521,8,1,1
0.098390854,3.16E-05,6,0,0
0.99975118,0.714143012,8,1,1
0.999476492,0.571429895,8,1,1
0.115645857,0.109941535,3,0,0
0.999921203,0.599993474,5,1,1
0.558142433,3.00E-05,3,1,0
0.999925971,0.881634384,6,1,1
0.999931574,0.999934047,6,1,1
0.004931415,0.03034351,8,0,0
0.999905646,0.26200909,3,1,0
0.503722838,0.57163066,6,1,1
0.400059094,0.334768477,5,0,0
0.991434634,0.999926229,8,1,1
0.799360777,0.758707833,6,1,1
8.97E-05,0.26173188,6,0,0
0.499330418,0.069282043,3,0,0
0.999925852,0.589192605,8,1,1
0.50088273,0.666656833,6,1,1
0.991207421,0.999909806,6,1,1
0.627284262,0.516543802,6,1,1
0.570254867,0.400006908,3,1,0
0.999931097,0.77389978,3,1,1
0.999872953,0.666467093,3,1,1
0.999926567,0.487122752,8,1,0
0.000131599,0.32942323,5,0,0
0.999909878,0.999985337,8,1,1
0.983086824,0.399997817,5,1,0
0.388671179,0.38321418,5,0,0
0.999731004,0.4996962,5,1,0
0.992055476,0.499353976,6,1,0
0.397940753,0.197844973,5,0,0
0.999922395,0.341760544,8,1,0
0.497704086,0.250015671,3,0,0
0.999892592,0.028389698,3,1,0
0.332903879,0.748187483,5,0,1
0.999910295,0.751818955,3,1,1
0.999929667,0.999950826,5,1,1
0.499676642,0.333340885,6,0,0
0.6330275,0.999939919,8,1,1
0.99981612,0.614550284,6,1,1
0.759085774,0.334470847,8,1,0
0.589221314,0.99826628,5,1,1
0.999862214,0.582909499,6,1,1
0.999929786,0.499985266,6,1,0
0.997477174,0.520436997,5,1,1
0.335112158,0.50040429,5,0,1
0.798299015,0.423803036,6,1,0
